,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
15030,1625969670,339700,250347.3333,0,25,0,0,221.3728574,0.001,1,0.001,0.001
15060,1625971470,344936.3333,255555.3333,0,25,0,0,222.3447824,0.001,1,0.001,0.001
15090,1625973270,342129.6667,252488.6667,0,25,0,0,225.4677065,0.001,1,0.001,0.001
15120,1625975070,345254.3333,255700.3333,0,25,0,0,222.4278213,0.001,1,0.001,0.001
15150,1625976870,358652,269241.6667,0,25,0,0,221.5745093,0.001,1,0.001,0.001
15180,1625978670,373812.6667,284403.3333,0,25,0,0,225.2569491,0.001,1,0.001,0.001
15210,1625980470,380467,290826.3333,0,25,0,0,224.8426944,0.001,1,0.001,0.001
15240,1625982270,367997.6667,278587.6667,0,25,0,0,226.2002046,0.001,1,0.001,0.001
15270,1625984070,357088,267275.3333,0,25,0,0,221.5927417,0.001,1,0.001,0.001
15300,1625985870,351763.3333,262383,0,25,0,0,224.6183148,0.001,1,0.001,0.001
15330,1625987670,355092,265394,0,25,0,0,222.9432778,0.001,1,0.001,0.001
15390,1625989470,369300.3333,279543,0,25,0,0,226.4484093,0.001,1,0.001,0.001
16320,1626047070,433305,292651.3333,0,0,28,0,214.2352639,0.001,0.001,1,0.001
16380,1626048870,357465.3333,253819.6667,0,0,28.63966,0,253.7499509,0.001,0.001,1,0.001
16410,1626052470,347425,262992,0,27.00024667,27.00024667,0,524.4887407,0.001,1,1,0.001
16440,1626054270,304571.3333,206075.3333,0,27,27,0,505.3559445,0.001,1,1,0.001
16470,1626056070,316579.3333,203647,0,27,27,0,477.3381296,0.001,1,1,0.001
16500,1626057870,325983.6667,211372,0,27,27,0,471.7549815,0.001,1,1,0.001
16530,1626059670,295573,188078.3333,0,27,27,0,483.102463,0.001,1,1,0.001
16560,1626061470,348871.3333,249884,0,26.03333333,26.03333333,0,471.4713518,0.001,1,1,0.001
16590,1626063270,342504.6667,240105.3333,0,26,26,0,463.8386389,0.001,1,1,0.001
16620,1626065070,348958,253241,0,25.33333333,25.33333333,0,456.5217593,0.001,1,1,0.001
16650,1626066870,358999.6667,276245,0,25.51054333,25.51054333,0,471.1406111,0.001,1,1,0.001
16680,1626068670,386023.6667,317129.3333,0,26.18736333,26.18736333,0,525.6200648,0.001,1,1,0.001
16710,1626070470,394647,326564,0,25.54947,25.54947,0,501.7888056,0.001,1,1,0.001
16740,1626072270,394532.3333,326534.6667,0,26.04766667,26.04766667,0,520.9133611,0.001,1,1,0.001
16770,1626074070,433941.3333,366464.6667,0,29.66944667,29.66944667,0,617.0576111,0.001,1,1,0.001
